Generation,Condition,MBPP+ Pass@1 Mean,MBPP+ Pass@1 Std,HumanEval+ Pass@1 Mean,HumanEval+ Pass@1 Std
G2,vanilla,0.5212,0.0000,0.4634,0.0000
G2,baseline_only,0.5370,0.0000,0.4573,0.0000
G2,curriculum_only,0.5317,0.0000,0.4512,0.0000
G2,full,0.5503,0.0000,0.4939,0.0000
G4,vanilla,0.5265,0.0000,0.4817,0.0000
G4,baseline_only,0.5450,0.0000,0.5122,0.0000
G4,curriculum_only,0.5370,0.0000,0.5000,0.0000
G4,full,0.5556,0.0000,0.5000,0.0000
G16,vanilla,0.5503,0.0000,0.4817,0.0000
G16,baseline_only,0.5423,0.0000,0.5183,0.0000
G16,curriculum_only,0.5556,0.0000,0.4634,0.0000
G16,full,0.5397,0.0000,0.4756,0.0000
