Generation,Condition,Benchmark,Pass@1,Pass@8,Pass@16,Pass@32,Maj@8,Maj@16,Maj@32
G2,vanilla,MBPP,0.5263,0.6017,0.6167,0.6279,0.5198,0.5234,0.5256
G2,vanilla,HUMANEVAL,0.4776,0.5732,0.5929,0.6098,0.4671,0.4710,0.4756
G2,baseline_only,MBPP,0.5277,0.6017,0.6165,0.6270,0.5166,0.5189,0.5212
G2,baseline_only,HUMANEVAL,0.4673,0.5443,0.5659,0.5894,0.4656,0.4694,0.4675
G2,curriculum_only,MBPP,0.5354,0.6136,0.6287,0.6376,0.5290,0.5346,0.5362
G2,curriculum_only,HUMANEVAL,0.4674,0.5595,0.5806,0.5976,0.4551,0.4588,0.4593
G2,full,MBPP,0.5515,0.6193,0.6336,0.6437,0.5465,0.5520,0.5564
G2,full,HUMANEVAL,0.4917,0.5917,0.6125,0.6301,0.4819,0.4885,0.4919
G4,vanilla,MBPP,0.5270,0.6014,0.6187,0.6332,0.5212,0.5269,0.5317
G4,vanilla,HUMANEVAL,0.4844,0.5872,0.6095,0.6280,0.4709,0.4734,0.4776
G4,baseline_only,MBPP,0.5378,0.6080,0.6219,0.6314,0.5283,0.5307,0.5326
G4,baseline_only,HUMANEVAL,0.5089,0.6045,0.6244,0.6382,0.5004,0.5098,0.5183
G4,curriculum_only,MBPP,0.5361,0.6039,0.6189,0.6323,0.5313,0.5357,0.5379
G4,curriculum_only,HUMANEVAL,0.4935,0.5882,0.6121,0.6321,0.4846,0.4923,0.4959
G4,full,MBPP,0.5416,0.6152,0.6288,0.6376,0.5322,0.5367,0.5388
G4,full,HUMANEVAL,0.4779,0.5771,0.5976,0.6118,0.4639,0.4709,0.4776
G16,vanilla,MBPP,0.5458,0.6235,0.6394,0.6508,0.5363,0.5406,0.5423
G16,vanilla,HUMANEVAL,0.5046,0.6100,0.6370,0.6585,0.4923,0.4980,0.5061
G16,baseline_only,MBPP,0.5366,0.6072,0.6225,0.6349,0.5313,0.5360,0.5379
G16,baseline_only,HUMANEVAL,0.5112,0.6168,0.6412,0.6606,0.5010,0.5065,0.5102
G16,curriculum_only,MBPP,0.5466,0.6201,0.6345,0.6464,0.5381,0.5424,0.5467
G16,curriculum_only,HUMANEVAL,0.4826,0.5795,0.6019,0.6220,0.4695,0.4738,0.4715
G16,full,MBPP,0.5247,0.5999,0.6184,0.6340,0.5154,0.5185,0.5176
G16,full,HUMANEVAL,0.4805,0.5840,0.6047,0.6199,0.4672,0.4730,0.4736
